id,img,x1,y1,x2,y2,result,my_result
100,00020ebf74c4881c.jpg,294,283,596,547,239184,
101,00020ebf74c4881c.jpg,311,207,495,416,115368,
102,00020ebf74c4881c.jpg,553,322,906,609,303933,
103,00020ebf74c4881c.jpg,799,310,1002,496,113274,
104,00026fcce1ecc052.jpg,298,79,382,112,8316,
105,00026fcce1ecc052.jpg,101,135,185,204,17388,
106,00026fcce1ecc052.jpg,447,274,580,325,20349,
107,00026fcce1ecc052.jpg,18,74,138,146,25920,
108,00026fcce1ecc052.jpg,492,97,592,161,19200,
109,0002ae08a264b451.jpg,300,155,796,524,549072,
110,0002ae08a264b451.jpg,302,157,800,522,545310,
111,0002ae08a264b451.jpg,295,157,801,522,554070,
112,0002f5b84a708bd3.jpg,1,33,765,763,1673160,
113,0002f5f227b0c2dc.jpg,278,612,303,641,2175,
114,0002f5f227b0c2dc.jpg,209,701,236,748,3807,
115,0002f5f227b0c2dc.jpg,177,602,203,625,1794,
116,0002f5f227b0c2dc.jpg,253,618,278,650,2400,
117,0002f5f227b0c2dc.jpg,31,695,70,730,4095,
118,0002f5f227b0c2dc.jpg,183,645,220,669,2664,
119,0002f5f227b0c2dc.jpg,122,586,157,607,2205,
120,0002f5f227b0c2dc.jpg,147,600,167,632,1920,
121,0002f5f227b0c2dc.jpg,136,678,174,718,4560,
122,0002f921515d14e8.jpg,52,36,856,601,1362780,
123,0002f921515d14e8.jpg,64,28,872,582,1342896,
124,00030b70a3abfcea.jpg,780,57,1021,190,96159,
125,00030b70a3abfcea.jpg,757,0,1023,500,399000,
126,00030b70a3abfcea.jpg,61,362,412,675,329589,
127,00030b70a3abfcea.jpg,175,154,483,433,257796,
128,00030b70a3abfcea.jpg,54,159,480,677,662004,
129,00030b70a3abfcea.jpg,108,361,255,490,56889,
130,00030b70a3abfcea.jpg,228,170,382,281,51282,
131,000323390354c939.jpg,141,186,883,638,1006152,
132,000323390354c939.jpg,148,184,882,637,997506,
133,000333bbb9b7ae4c.jpg,160,0,798,657,1257498,
134,000333bbb9b7ae4c.jpg,147,0,804,670,1320570,
135,000333bbb9b7ae4c.jpg,602,0,906,120,109440,
136,00037418480b82d5.jpg,807,305,864,493,32148,
137,00037418480b82d5.jpg,483,593,541,661,11832,
138,00037418480b82d5.jpg,468,527,555,694,43587,
139,00037418480b82d5.jpg,468,527,555,694,43587,
140,0003d7be45f109cb.jpg,0,184,383,391,237843,
141,0003d7be45f109cb.jpg,0,187,388,406,254916,
142,0003f807c0f5720f.jpg,701,638,756,682,7260,
143,0004009be735ce46.jpg,540,434,585,467,4455,
144,0004009be735ce46.jpg,64,542,101,582,4440,
145,0004009be735ce46.jpg,391,439,430,475,4212,
146,00040e128ea49b66.jpg,0,25,718,963,2020452,
147,00040e128ea49b66.jpg,0,28,667,742,1428714,
148,000421a4ed497ea4.jpg,255,187,739,557,537240,
149,000421a4ed497ea4.jpg,4,597,158,679,37884,
150,0004238e4b8d0d33.jpg,207,86,413,246,98880,
151,0004238e4b8d0d33.jpg,298,573,581,767,164706,
152,0004238e4b8d0d33.jpg,0,549,154,767,100716,
153,0004413fb7511d7c.jpg,140,365,820,763,811920,
154,00045e4a23d19cff.jpg,278,3,661,699,799704,
155,000467588f9797fc.jpg,357,616,387,651,3150,
156,000467588f9797fc.jpg,150,661,182,687,2496,
157,000467588f9797fc.jpg,236,616,264,635,1596,
158,000467588f9797fc.jpg,191,663,252,743,14640,
159,000467588f9797fc.jpg,174,620,200,641,1638,
160,000467588f9797fc.jpg,123,645,152,666,1827,
161,000467588f9797fc.jpg,307,604,357,672,10200,
162,000467588f9797fc.jpg,275,602,326,695,14229,
163,000467588f9797fc.jpg,234,626,294,724,17640,
164,0004b1e36d81b877.jpg,697,346,722,388,3150,
165,0004b1e36d81b877.jpg,250,480,281,487,651,
166,0004b74a5f5998ce.jpg,302,579,339,626,5217,
167,0004b74a5f5998ce.jpg,687,603,717,641,3420,
168,0004b74a5f5998ce.jpg,671,409,944,500,74529,
169,0004b74a5f5998ce.jpg,653,577,675,600,1518,
170,0004b74a5f5998ce.jpg,225,668,404,831,87531,
171,0004b74a5f5998ce.jpg,381,274,486,337,19845,
172,0004b74a5f5998ce.jpg,564,321,732,400,39816,
173,0004b74a5f5998ce.jpg,307,514,328,531,1071,
174,0004b74a5f5998ce.jpg,362,273,493,500,89211,
175,0004b74a5f5998ce.jpg,257,641,281,657,1152,
176,0004b74a5f5998ce.jpg,409,673,548,839,69222,
177,0004b74a5f5998ce.jpg,503,655,685,741,46956,
178,0004b74a5f5998ce.jpg,276,573,302,593,1560,
179,0004b74a5f5998ce.jpg,648,488,824,577,46992,
180,0004b74a5f5998ce.jpg,550,290,669,353,22491,
181,0004b74a5f5998ce.jpg,292,647,314,671,1584,
182,0004b74a5f5998ce.jpg,572,561,666,652,25662,
183,0004b74a5f5998ce.jpg,78,461,230,678,98952,
184,0004be5f2f0f1c66.jpg,518,366,632,429,21546,
185,0004be5f2f0f1c66.jpg,574,299,693,353,19278,
186,0004be5f2f0f1c66.jpg,511,355,665,417,28644,
187,0004c6db7a801c3f.jpg,224,603,358,767,65928,
188,0004e0650dd10f47.jpg,767,564,784,584,1020,
189,0004e0650dd10f47.jpg,160,266,183,304,2622,
190,0004e0650dd10f47.jpg,722,569,754,599,2880,
191,0004e0650dd10f47.jpg,619,249,664,275,3510,
192,0004e0650dd10f47.jpg,668,661,698,666,450,
193,0004e0650dd10f47.jpg,956,548,969,574,1014,
194,0004e0650dd10f47.jpg,595,312,638,337,3225,
195,0004e0650dd10f47.jpg,609,634,628,666,1824,
196,0004e0650dd10f47.jpg,776,615,792,630,720,
197,0004e0650dd10f47.jpg,509,469,519,483,420,
198,0004e0650dd10f47.jpg,580,548,600,558,600,
199,0004e0650dd10f47.jpg,438,648,448,666,540,
200,0004e0650dd10f47.jpg,510,349,555,369,2700,
201,0004e0650dd10f47.jpg,126,223,209,259,8964,
202,0004e0650dd10f47.jpg,321,153,356,178,2625,
203,0004e0650dd10f47.jpg,88,412,137,445,4851,
204,0004e0650dd10f47.jpg,262,443,310,472,4176,
205,0004e0650dd10f47.jpg,204,370,251,399,4089,
206,0004e0650dd10f47.jpg,140,579,167,588,729,
207,0004e0650dd10f47.jpg,671,467,709,494,3078,
208,0004e0650dd10f47.jpg,669,428,1023,666,252756,
209,0004e0650dd10f47.jpg,352,307,373,323,1008,
210,0004e0650dd10f47.jpg,608,446,621,483,1443,
211,0004e0650dd10f47.jpg,777,458,793,482,1152,
212,0004e0650dd10f47.jpg,60,145,72,171,936,
213,0004e0650dd10f47.jpg,818,654,846,666,1008,
214,0004e0650dd10f47.jpg,577,548,603,564,1248,
215,0004e0650dd10f47.jpg,682,627,708,640,1014,
216,0004e0650dd10f47.jpg,782,436,805,449,897,
217,0004e0650dd10f47.jpg,541,650,551,666,480,
218,0004e0650dd10f47.jpg,534,344,611,385,9471,
219,0004e0650dd10f47.jpg,140,574,161,594,1260,
220,0004e0650dd10f47.jpg,151,586,180,613,2349,
221,0004e0650dd10f47.jpg,27,494,45,502,432,
222,0004e0650dd10f47.jpg,993,621,1023,648,2430,
223,0004e0650dd10f47.jpg,375,477,408,505,2772,
224,0004e0650dd10f47.jpg,914,470,974,500,5400,
225,0004e0650dd10f47.jpg,508,600,549,618,2214,
226,0004e0650dd10f47.jpg,413,621,451,653,3648,
227,0004e0650dd10f47.jpg,852,333,881,372,3393,
228,0004e0650dd10f47.jpg,681,535,705,558,1656,
229,0004e0650dd10f47.jpg,268,507,291,535,1932,
230,0004e0650dd10f47.jpg,193,567,234,580,1599,
231,0004e0650dd10f47.jpg,21,487,45,507,1440,
232,0004e0650dd10f47.jpg,308,584,321,620,1404,
233,0004e0650dd10f47.jpg,35,155,60,173,1350,
234,0004e0650dd10f47.jpg,327,192,360,212,1980,
235,0004e0650dd10f47.jpg,224,307,276,326,2964,
236,0004e0650dd10f47.jpg,364,516,408,541,3300,
237,0004e0650dd10f47.jpg,614,499,634,523,1440,
238,0004e0650dd10f47.jpg,726,502,771,538,4860,
239,0004e0650dd10f47.jpg,452,526,465,541,585,
240,0004e0650dd10f47.jpg,855,477,898,496,2451,
241,0004e0650dd10f47.jpg,759,361,792,396,3465,
242,0004e0650dd10f47.jpg,191,183,227,207,2592,
243,0004e0650dd10f47.jpg,254,402,288,421,1938,
244,0004e0650dd10f47.jpg,372,354,403,374,1860,
245,0004fca29aa55afd.jpg,0,788,47,931,20163,
246,0004fca29aa55afd.jpg,177,810,428,970,120480,
247,0004fca29aa55afd.jpg,125,935,181,1020,14280,
248,0004fca29aa55afd.jpg,114,904,192,1023,27846,
249,0004fca29aa55afd.jpg,52,949,124,1021,15552,
250,00052866345c0f72.jpg,20,718,50,755,3330,
251,00055eec11509863.jpg,726,705,739,717,468,
252,00055eec11509863.jpg,928,278,1023,341,17955,
253,00055eec11509863.jpg,383,451,695,663,198432,
254,00055eec11509863.jpg,616,705,664,730,3600,
255,00055eec11509863.jpg,678,387,978,695,277200,
256,00058138dc1ecd17.jpg,176,180,365,337,89019,
257,0005817f5c4ef853.jpg,3,295,396,682,456273,
258,00059157cde838d2.jpg,0,95,1020,586,1502460,
259,00059157cde838d2.jpg,396,236,537,387,63873,
260,00059157cde838d2.jpg,196,233,382,399,92628,
261,0005c2205c719873.jpg,699,229,922,371,94998,
262,0005c2205c719873.jpg,534,330,738,549,134028,
263,0005c2205c719873.jpg,243,318,558,571,239085,
264,0005c2205c719873.jpg,760,368,936,483,60720,
265,0005c2205c719873.jpg,88,90,752,565,946200,
266,0006124f7e35107e.jpg,54,36,690,574,1026504,
267,0006124f7e35107e.jpg,205,514,840,968,864870,
268,0006289e4f292bcd.jpg,563,12,801,725,509082,
269,00065acfe744d7b2.jpg,849,340,945,406,19008,
270,00065acfe744d7b2.jpg,561,284,702,343,24957,
271,00065acfe744d7b2.jpg,496,288,570,331,9546,
272,00065acfe744d7b2.jpg,493,391,603,462,23430,
273,00065acfe744d7b2.jpg,351,321,450,413,27324,
274,00065acfe744d7b2.jpg,825,308,900,335,6075,
